Year Mo Da Ho Mi Se,Epicentral area,NMDP,Lat,Lon,Io,Mw
1788 04 18,Costa pesarese,2,43.837,13.018,05/06/20,4.4
1789 09 30 10,Alta Valtiberina,73,43.51,12.217,9,5.89
1791 01,L'Aquila,1,42.351,13.399,07/08/20,5.33
1791 10 11 13 05,Appennino umbro-marchigiano,54,42.95,12.861,8,5.57
1792 07 20,Ternano,9,42.532,12.714,06/07/20,5.06
1793 04 21,Appennino umbro-marchigiano,1,43.025,12.811,07/08/20,5.33
1795 02 14 19 15,Siena,2,43.318,11.332,4,3.7
1795 06 19 23 30,Maceratese,17,43.182,13.443,6,4.7
1795 08 15,Monti Tiburtini,2,41.918,12.871,6,4.63
1796 02 05 02,Aretino,9,43.534,11.873,7,4.96
1796 10 22 04,Emilia orientale,27,44.614,11.67,7,5.45
1798 05 26,Senese,15,43.343,11.417,06/07/20,4.85
1798 09 08 16 45,Val d'Orcia,6,43.077,11.651,06/07/20,4.86
