Year Mo Da Ho Mi Se,Epicentral area,NMDP,Lat,Lon,Io,Mw
1919 11 09 17 06,Etna - Fossa Dell'Acqua (Acireale),10,37.61,15.142,05/06/20,2.91
1920 09 26 02 56,Etna - Codavolpe (S. Venerina),15,37.713,15.161,07/08/20,4.03
1921 01 21 17 28,Etna - Versante orientale,1,37.692,15.104,5,2.63
1921 06 19 12 52 40.00,Calabria meridionale,13,38.321,15.955,5,4.43
1921 07 24 00 00,Etna - Area sommitale,1,37.74,14.997,6,3.19
1923 06 17 00 06,Etna - Piedimonte Etneo,1,37.807,15.177,05/06/20,2.91
1923 06 17 15 45,Etna - Milo,3,37.722,15.116,06/07/20,3.47
1923 06 23 01 47,Etna - Piano Api (Acireale),3,37.628,15.144,05/06/20,2.91
1923 06 23 21 15,Etna - Piano Api (Acireale),3,37.629,15.143,05/06/20,2.91
1923 08 16 12 50,Stretto di Messina,4,38.178,15.485,04/05/20,3.93
1923 11 15 20 00,Etna - Piedimonte Etneo,14,37.747,15.158,06/07/20,3.47
1924 08 17 21 40,Monti Iblei,22,37.132,14.879,5,4.74
1924 11 12 06 46,Isola di Ustica,1,38.709,13.193,6,4.63
1925 03 08 15 46,Monti Nebrodi,15,37.813,14.37,06/07/20,4.57
1925 07 06 06 36,Etna - Versante orientale,6,37.643,15.115,5,2.63
1925 08 21 19 11,Sicilia centro-settentrionale,14,37.715,14.592,6,4.51
1926 08 17 01 42,Isole Eolie,35,38.565,14.836,07/08/20,5.28
1927 09 22 19 38 45.00,Valledolmo,3,37.747,13.826,04/05/20,3.93
1928 02 02 14 43,Caronia,3,38.023,14.441,04/05/20,3.93
1929 02 22 08 17,Stretto di Messina,2,38.147,15.601,4,3.7
1930 03 26 10 52,Tirreno meridionale,11,38.547,14.471,06/07/20,4.92
1931 08 03 21 12,Etna - Fiandaca (Acireale),40,37.635,15.132,06/07/20,3.47
1932 05 22 17 01,Sicilia nord-orientale,11,38.014,15.347,4,4.99
1933 02 26 02 48,Sciacca,11,37.559,13.17,5,4.34
1934 09 11 01 19,Sicilia centro-settentrionale,28,37.438,14.58,05/06/20,4.84
1935 06 30 03 25,Etna - S. Giovanni Bosco (Acireale),6,37.668,15.154,06/07/20,3.47
1935 06 30 09 04,Etna - Guardia (Acireale),2,37.658,15.172,6,3.19
1936 10 08 08 04,Patti,16,38.169,15.002,05/06/20,4.61
1937 03 06 01 56,Monti Iblei,15,36.963,14.7,5,4.49
1939 01 27 20 10 13.00,Isole Eolie,33,38.565,14.748,7,5.1
1940 01 15 13 19 24.00,Tirreno meridionale,60,38.076,13.429,07/08/20,5.29
1941 03 16 16 35 02.00,Tirreno meridionale,,38.3,12.2,7,5.91
1941 03 27 05 20,Etna - Fleri (Zafferana E.),12,37.658,15.091,06/07/20,3.47
1941 05 22 06 16,Isola di Stromboli,7,38.806,15.235,07/08/20,5.33
1941 05 28,Calabria meridionale,,38.267,15.867,,
1941 11 01,Ionio meridionale,,,,,
1942 11 15 16 29,Etna - Nicolosi,3,37.614,15.026,06/07/20,3.47
1943 01 28 03 55,Etna - Versante sud-orientale,1,37.6,15.1,5,2.63
1946 03 15 07 02,Stretto di Messina,2,38.147,15.601,5,4.16
1947 02 26 05 42 38.00,Tirreno meridionale,,39,15.2,,
1947 10 17,Messina,4,38.185,15.555,4,3.7
1948 10 16 12 10,Stromboli,3,38.806,15.235,5,4.16
1949 10 08 03 08,Sicilia sud-orientale,32,36.915,14.686,7,5.1
1950 04 08 08 47,Etna - Codavolpe (S. Venerina),10,37.707,15.164,7,3.75
1950 04 10 03 55,Stretto di Messina,2,38.147,15.601,04/05/20,3.93
1950 07 18 23 52 41.00,Sicilia nord-orientale,27,38.146,15.434,05/06/20,4.71
1950 12 09 14 45 38.00,Stretto di Messina,6,38.131,15.505,05/06/20,4.4
1952 03 01 12 29,Etna - Rocca D'Api (Zafferana E.),22,37.686,15.124,06/07/20,3.47
1952 03 02 14 14,Etna - Rocca D'Api (Zafferana E.),20,37.683,15.123,06/07/20,3.47
1952 03 19 08 13,Etna - Linera (S. Venerina),105,37.66,15.147,07/08/20,4.03
1954 11 20 05 35 24.00,Sicilia centro-occidentale,34,37.924,13.093,05/06/20,4.24
1955 02 01 04 25,Etna - Pedara,1,37.618,15.061,05/06/20,2.91
1955 02 02 05 00,Etna - Pedara,6,37.63,15.066,05/06/20,2.91
1957 03 03 09 27,Etna - Zafferana Etnea,18,37.692,15.104,06/07/20,3.47
1957 05 20 19 57 38.05,Tirreno meridionale,3,38.505,14.191,,5.19
1957 05 21 11 44 04.00,Tirreno meridionale,2,38.726,14.17,,5.3
1959 11 14 20 38,Etna - Zafferana Etnea,2,37.692,15.104,06/07/20,3.47
1959 12 23 09 29,Piana di Catania,108,37.357,14.908,06/07/20,5.11
1960 04 16 01 15,Isola di Stromboli,2,38.797,15.214,6,4.63
1960 07 25 06 18,Etna - Zafferana Etnea,5,37.691,15.101,06/07/20,3.47
1961 03 24 10 36,Calabria meridionale,59,38.174,15.654,05/06/20,4.62
1963 06 13 08 37 40.00,Isole Eolie,9,38.566,14.825,6,4.67
1963 09 30 22 25,Ionio meridionale,,37.5,15.8,,5.05
1964 05 02 11 32,Monti Iblei,14,36.976,14.957,5,4.2
1965 04 12 13 06 38.40,Tirreno meridionale,,39.1,14.1,,4.36
1967 02 14 14 42 26.20,Isole Eolie,,38.45,15.06,,4.26
1967 08 15 07 06 30.30,Tirreno meridionale,7,38.71,15.28,,4.57
1967 09 07 14 09 03.60,Sicilia orientale,,37.85,15.24,,4.36
1967 10 31 21 08 07.00,Monti Nebrodi,60,37.862,14.413,8,5.33
1968 01 14 12 28 24.00,Valle del Belice,15,37.85,13.02,06/07/20,5.1
1968 01 14 13 15 42.00,Valle del Belice,,37.68,12.96,,4.9
1968 01 14 15 48 33.30,Valle del Belice,18,37.9,13.03,7,4.84
1968 01 15 01 33 02.00,Valle del Belice,15,37.756,12.995,8,5.37
1968 01 15 02 01 09.00,Valle del Belice,162,37.756,12.981,10,6.41
1968 01 15 03 18 41.50,Valle del Belice,,37.86,13.03,,4.57
1968 01 15 13 42 03.00,Valle del Belice,,37.78,12.92,,5.53
1968 01 15 14 59 43.00,Valle del Belice,,37.6,13.1,,4.79
1968 01 15 18 22 53.00,Valle del Belice,,37.73,13.01,,4.46
1968 01 15 22 19 57.00,Valle del Belice,,37.72,12.94,,4.79
1968 01 16 00 54 05.00,Valle del Belice,,37.66,12.88,,4.79
1968 01 16 13 10 32.30,Valle del Belice,,37.78,12.93,,4.57
1968 01 16 16 42 46.00,Valle del Belice,17,37.86,12.99,8,5.45
1968 01 21 02 39 03.00,Castellammare del Golfo,,37.98,12.9,,4.36
1968 01 25 09 56 46.00,Valle del Belice,32,37.71,13.06,8,5.37
1968 01 25 10 04 20.30,Valle del Belice,,37.9,12.9,,4.26
