Lat,Lon,Mw
43.20399999999999,12.769,6.05
43.255,12.825999999999999,5.42
43.113,12.788,4.4
41.826,12.606,4.4
42.351000000000006,13.399000000000001,4.86
41.86,12.655999999999999,4.5
42.595,12.593,5.12
43.225,12.739,6.38
43.135,13.068,4.4
42.623000000000005,12.777999999999999,4.86
43.305,12.798,4.61
43.457,12.239,3.7
43.983000000000004,11.92,4.86
42.613,12.547,4.8
41.778,12.764000000000001,4.47
42.742,11.868,4.4
43.898999999999994,12.84,3.93
41.88399999999999,13.097000000000001,4.4
43.933,10.915,4.16
42.611999999999995,12.133,4.16
43.059,13.311,4.4
43.946000000000005,11.909,3.7
43.833999999999996,11.96,4.63
44.004,11.505999999999998,5.14
42.308,13.585,5.54
41.918,13.11,4.86
43.541000000000004,10.942,3.7
42.873999999999995,12.899000000000001,4.63
44.138000000000005,10.133,5.27
44.238,10.124,4.6
42.821000000000005,12.751,5.45
42.736000000000004,12.737,4.4
43.943000000000005,11.904000000000002,5.99
43.565,10.946,4.16
43.701,11.409,4.86
43.551,10.309000000000001,4.4
43.946000000000005,11.318,4.16
44.119,11.379000000000001,4.16
44.119,11.379000000000001,4.16
44.141000000000005,11.161,4.63
43.57,12.140999999999998,4.63
41.839,12.831,4.86
41.72,12.671,4.16
43.61,12.128,4.63
42.831,11.585999999999999,4.63
44.647,10.925999999999998,4.43
44.238,10.124,4.55
42.88,11.757,5.14
43.619,13.513,4.63
42.153,13.534,4.86
44.175,10.182,3.93
44.222,12.04,4.4
43.57,12.140999999999998,4.63
44.443000000000005,11.479000000000001,5.22
43.318000000000005,11.332,4.16
44.458999999999996,11.39,4.16
44.424,11.529000000000002,4.7
44.06100000000001,10.86,4.59
44.03,10.821,4.16
44.567,11.31,5.06
44.418,12.197000000000001,4.4
44.236999999999995,11.765,3.93
43.17100000000001,11.537,5.19
43.058,11.606,4.16
43.287,11.745999999999999,4.86
41.72,12.671,4.16
44.251000000000005,11.798,6.12
43.596000000000004,12.512,6.51
44.268,11.987,5.61
41.815,12.716,4.63
43.773999999999994,11.716,4.4
41.756,12.685,4.4
43.073,12.955,5.1
41.964,12.798,4.5
42.536,12.788,5.76
43.351000000000006,12.577,5.1
43.361000000000004,12.552999999999999,4.44
42.351000000000006,13.399000000000001,4.89
43.99100000000001,12.565,5.66
